# If you analyze and sort this data correctly, the fourth line of the
# fourth group should show these machines and total:
#
#      maryann.girl.hut => thurston.howell.hut: 123456 bytes
#
gilligan.crew.hut lovey.howell.hut 4721
thurston.howell.hut lovey.howell.hut 4046
professor.hut ginger.girl.hut 5768
gilligan.crew.hut laser3.copyroom.hut 9352
gilligan.crew.hut maryann.girl.hut 1180
fileserver.copyroom.hut thurston.howell.hut 2548
skipper.crew.hut gilligan.crew.hut 1259
fileserver.copyroom.hut maryann.girl.hut 248
fileserver.copyroom.hut maryann.girl.hut 798
skipper.crew.hut maryann.girl.hut 1921
professor.hut thurston.howell.hut 5152
fileserver.copyroom.hut thurston.howell.hut 308
gilligan.crew.hut maryann.girl.hut 4673
professor.hut maryann.girl.hut 1684
professor.hut lovey.howell.hut 942
lovey.howell.hut maryann.girl.hut 3349
thurston.howell.hut skipper.crew.hut 2065
maryann.girl.hut fileserver.copyroom.hut 854
professor.hut ginger.girl.hut 2655
lovey.howell.hut fileserver.copyroom.hut 4401
skipper.crew.hut maryann.girl.hut 2071
fileserver.copyroom.hut skipper.crew.hut 1966
fileserver.copyroom.hut thurston.howell.hut 3023
skipper.crew.hut lovey.howell.hut 2494
maryann.girl.hut professor.hut 6663
lovey.howell.hut thurston.howell.hut 6481
ginger.girl.hut laser3.copyroom.hut 3934
professor.hut gilligan.crew.hut 3755
thurston.howell.hut ginger.girl.hut 4876
lovey.howell.hut gilligan.crew.hut 754
ginger.girl.hut thurston.howell.hut 4361
ginger.girl.hut skipper.crew.hut 1691
maryann.girl.hut lovey.howell.hut 249
thurston.howell.hut maryann.girl.hut 2455
ginger.girl.hut fileserver.copyroom.hut 2703
skipper.crew.hut professor.hut 2807
thurston.howell.hut maryann.girl.hut 2545
lovey.howell.hut professor.hut 3109
ginger.girl.hut professor.hut 7782
gilligan.crew.hut maryann.girl.hut 752
ginger.girl.hut lovey.howell.hut 56
professor.hut ginger.girl.hut 5832
professor.hut maryann.girl.hut 920
gilligan.crew.hut professor.hut 1562
lovey.howell.hut ginger.girl.hut 5399
gilligan.crew.hut maryann.girl.hut 7136
maryann.girl.hut gilligan.crew.hut 1461
professor.hut maryann.girl.hut 4071
professor.hut thurston.howell.hut 1420
thurston.howell.hut maryann.girl.hut 2022
professor.hut gilligan.crew.hut 3240
maryann.girl.hut skipper.crew.hut 629
ginger.girl.hut gilligan.crew.hut 1290
ginger.girl.hut laser3.copyroom.hut 9498
skipper.crew.hut laser3.copyroom.hut 3185
professor.hut fileserver.copyroom.hut 1963
professor.hut lovey.howell.hut 2773
